STATUS | wrapper  | 2017/02/03 15:52:51 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/02/03 15:52:51 | Launching a JVM...
INFO   | jvm 1    | 2017/02/03 15:52:52 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2017/02/03 15:52:52 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2017/02/03 15:52:52 | 
INFO   | jvm 1    | 2017/02/03 15:52:57 | févr. 03, 2017 3:52:57 PM fr.in2p3.lavoisier.service.ServerProperties getProperties
INFO   | jvm 1    | 2017/02/03 15:52:57 | AVERTISSEMENT: File not found: security/lavoisier-service-headers.properties
INFO   | jvm 1    | 2017/02/03 15:52:57 | févr. 03, 2017 3:52:57 PM fr.in2p3.lavoisier.service.ServerProperties getProperties
INFO   | jvm 1    | 2017/02/03 15:52:57 | AVERTISSEMENT: File not found: security/lavoisier-service-headers.properties
INFO   | jvm 1    | 2017/02/03 15:52:59 | févr. 03, 2017 2:52:59 PM fr.in2p3.lavoisier.engine.view.ViewCached refresh
INFO   | jvm 1    | 2017/02/03 15:52:59 | AVERTISSEMENT: Failed to refresh cache for view: default
INFO   | jvm 1    | 2017/02/03 15:52:59 | fr.in2p3.lavoisier.interfaces.error.AdaptorException: Exception raised for view 'categories' [Adaptor raised exception -- java.io.FileNotFoundException: /tmp/categories/current]
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.chaining.link.connector.SAXConnectorLink.generate(SAXConnectorLink.java:26)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.chaining.Chain.generate(Chain.java:120)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.chaining.Chain.writeToContentHandler(Chain.java:103)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.engine.view.ViewCached.writeToXMLEventHandler(ViewCached.java:117)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.xml.XmlView.write(XmlView.java:54)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.connector.XMLConnector.writeToContentHandler(XMLConnector.java:34)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.chaining.link.connector.SAXConnectorLink.generate(SAXConnectorLink.java:24)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.chaining.Chain.generate(Chain.java:120)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.chaining.Chain.writeToCache(Chain.java:109)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.engine.view.ViewCached.refresh(ViewCached.java:151)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.engine.task.CacheRefreshTask.run(CacheRefreshTask.java:22)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at java.lang.Thread.run(Thread.java:745)
INFO   | jvm 1    | 2017/02/03 15:52:59 | Caused by: java.io.FileNotFoundException: /tmp/categories/current
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.connector.FileCacheConnector.writeToContentHandler(FileCacheConnector.java:52)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.chaining.link.connector.SAXConnectorLink.generate(SAXConnectorLink.java:24)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	... 13 more
INFO   | jvm 1    | 2017/02/03 15:52:59 | 
INFO   | jvm 1    | 2017/02/03 15:52:59 | févr. 03, 2017 2:52:59 PM fr.in2p3.lavoisier.engine.view.ViewAbstract createChain
INFO   | jvm 1    | 2017/02/03 15:52:59 | AVERTISSEMENT: Entering fallback because of error [org.dom4j.XPathException: Exception occurred evaluting XPath: document('rsc/categories.xml'). Exception: File not found: rsc/categories.xml]
INFO   | jvm 1    | 2017/02/03 15:52:59 | févr. 03, 2017 2:52:59 PM fr.in2p3.lavoisier.engine.view.ViewCached refresh
INFO   | jvm 1    | 2017/02/03 15:52:59 | AVERTISSEMENT: Failed to refresh cache for view: navbar
INFO   | jvm 1    | 2017/02/03 15:52:59 | fr.in2p3.lavoisier.interfaces.error.ConfigurationException: Exception raised for view 'navbar' [org.dom4j.XPathException: Exception occurred evaluting XPath: document('rsc/categories.xml'). Exception: File not found: rsc/categories.xml]
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.parameter.source.XPathSource.getParameterValue(XPathSource.java:48)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.engine.factory.ParameterValueFactory.createParameterValues(ParameterValueFactory.java:35)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.engine.ChainOfAdaptors.<init>(ChainOfAdaptors.java:46)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.engine.view.ViewAbstract.createChain(ViewAbstract.java:117)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.engine.view.ViewCached.refresh(ViewCached.java:149)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at fr.in2p3.lavoisier.engine.task.CacheRefreshTask.run(CacheRefreshTask.java:22)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)
INFO   | jvm 1    | 2017/02/03 15:52:59 | 	at java.lang.Thread.run(Thread.java:745)
INFO   | jvm 1    | 2017/02/03 15:52:59 | Caused by: org.dom4j.XPathException: Exception occurred evaluting XPath: document('rsc/categories.xml'). Exception: File not found: rsc/categories.xml
